Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Propanoate metabolism,-0.6620987165796803,-2.1666838537959756,0.0,0.005935696619950536,0.003,20/32,14.13%,pccb;acss2;aldh6a1;acss3;ldhal6b;dbt;echdc1;acacb;acox1;abat;sucla2;mlycd;dld;acat1;pcca;bckdha;mcee;ldha;echs1;bckdhb
prerank,"Valine, leucine and isoleucine degradation",-0.5666772238737137,-2.014458534705877,0.0,0.013849958779884585,0.014,24/45,17.77%,acadsb;pccb;hibadh;aldh6a1;bcat1;ivd;mccc2;acad8;dbt;bcat2;abat;acaa2;dld;aldh7a1;acat1;pcca;bckdha;mcee;auh;echs1;bckdhb;mccc1;hmgcs2;hmgcs1
prerank,Primary bile acid biosynthesis,-0.7045964359972122,-1.941198723968857,0.0,0.017147568013190437,0.026,8/16,3.54%,cyp7b1;cyp8b1;cyp7a1;hsd3b7;scp2;slc27a5;baat;cyp27a1
prerank,Maturity onset diabetes of the young,-0.6097200493174438,-1.8175943585635466,0.01282051282051282,0.04402308326463314,0.08,6/22,5.12%,iapp;pdx1;nkx2-2;onecut1;neurod1;hhex
prerank,Fatty acid degradation,-0.5428272351465535,-1.8035795202927667,0.006024096385542169,0.039571310799670245,0.09,14/38,10.89%,cyp2u1;acsl6;adh4;acadsb;acsl1;gcdh;adh7;adh5;acox1;acsbg2;acaa2;cpt2;aldh7a1;acat1
prerank,Peroxisome,-0.44270406479406244,-1.751799525574128,0.0,0.04748557295960428,0.125,36/81,18.24%,nudt7;acsl6;scp2;acsl1;baat;mpv17l;paox;phyh;agxt;pxmp2;hacl1;hao1;ephx2;abcd3;gstk1;crot;acox1;pmvk;mlycd;pecr;slc27a2;pipox;cat;amacr;pex11g;pex6;sod1;mvk;pex2;sod2;ech1;pex16;pex10;pex5;pex11b;acot8
prerank,Glyoxylate and dicarboxylate metabolism,-0.527225767904719,-1.7111749992529819,0.0,0.05822635731951478,0.17,20/29,16.96%,pccb;acss2;agxt;hao1;glul;amt;mdh1;cat;dld;acat1;pcca;shmt1;mcee;afmid;hoga1;shmt2;hyi;glyctk;cs;gcsh
prerank,Cell cycle,0.5802712735522509,1.6865734158486958,0.0,0.18884328701573572,0.172,35/121,13.21%,cdkn2b;ccnb1;plk1;ccnb2;pkmyt1;ttk;cdkn1a;cdc20;cdc25c;cdkn2a;cdk1;bub1;ccna2;ccne1;tgfb2;mcm6;bub1b;espl1;sfn;cdc6;gadd45b;wee1;cdc25b;cdc7;mcm2;cdc45;cdkn2c;mcm5;chek1;ywhah;mcm3;dbf4;rbl1;mad2l1;ccnd1
prerank,Staphylococcus aureus infection,0.627757859813985,1.6859525484037365,0.002290950744558992,0.0953124137296402,0.174,20/51,16.19%,krt13;krt20;defb1;krt15;krt17;krt28;krt23;krt12;krt25;krt24;camp;krt16;il10;krt18;krt33b;c1qa;icam1;c1qb;selplg;c1qc
prerank,Progesterone-mediated oocyte maturation,0.5824757238144057,1.6713094061972258,0.0,0.08135701358854022,0.217,26/85,15.83%,adcy8;adcy1;ccnb1;plk1;ccnb2;pkmyt1;cdc25c;cdk1;bub1;ccna2;adcy2;aurka;stk10;cdc25b;rps6ka1;kif22;mapk11;mad2l1;adcy7;gnai1;pik3cd;mapk13;cpeb1;mapk3;cdc25a;adcy3
prerank,p53 signaling pathway,0.6059188284389678,1.6697012844576697,0.0,0.06324468574583601,0.221,29/66,20.07%,serpine1;ccnb1;gtse1;ccnb2;cdkn1a;cdkn2a;cdk1;rprm;ccne1;sfn;igfbp3;rrm2;gadd45b;pmaip1;tnfrsf10b;serpinb5;chek1;thbs1;apaf1;sesn2;ccnd1;ddb2;bax;bcl2l1;bcl2;steap3;shisa5;aifm2;zmat3
prerank,Viral protein interaction with cytokine and cytokine receptor,0.5970457264590612,1.6678577026165922,0.0,0.05130836477408668,0.223,42/77,18.21%,ccl20;cxcr1;ccl17;cx3cl1;cx3cr1;cxcl14;il19;ccr3;cxcr4;ccl2;il34;ccl5;ccl4;cxcr3;cxcl9;ccr8;il10;tnfrsf10b;ccl22;ccr2;ccl3;ccr1;ccr10;ccr7;il22ra1;il10ra;pf4;ccl19;ccl1;cxcl10;ccl7;ccr6;ccr4;cxcl3;tnf;il10rb;ccl11;ccl8;il2rg;xcl1;il2rb;cxcl5
prerank,Estrogen signaling pathway,0.565092848098555,1.6672333400788049,0.0,0.04290543234870096,0.223,36/121,17.72%,krt13;krt20;adcy8;calml3;adcy1;krt15;shc2;krt17;krt28;krt23;calml4;src;krt12;itpr3;krt25;adcy2;krt24;fkbp5;shc4;oprm1;kcnj9;krt16;hbegf;shc3;krt18;mmp2;adcy7;gnai1;pik3cd;krt33b;mapk3;adcy3;gabbr1;plcb2;bcl2;prkcd
