,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a1bg,9713.017308478844,-0.12731505229001727,0.1840382216481827,-0.6917859298455923,0.48907177389646506,0.6492565442679616
a1cf,17473.712514908755,-0.44707145799075115,0.2070412475193645,-2.1593352211082317,0.030824169532053483,0.11381231827219748
a2m,53853.60600229566,-0.3906198329510718,0.30909385570457365,-1.263758000173317,0.20631690023940086,0.3883612239800487
a3galt2,0.16485214516217828,-1.6902619675559267,3.4446911617173432,-0.4906860697239547,0.6236485005558966,
a4galt,15.668838831035265,0.33828067876743295,0.4814696743837089,0.7026001776756536,0.48230495175145305,0.6492565442679616
a4gnt,3.7167551106064702,-0.0726473119920168,0.9734969407598123,-0.07462510558617239,0.9405129984454139,0.970852127427524
aaas,417.7454825895652,0.21737556023637483,0.15539095678955403,1.3988945349681225,0.16184461165223074,0.3489253634249764
aacs,552.1422233105355,-0.22938245708430227,0.14829009179148325,-1.5468495184887088,0.12189953632111117,0.30321075541225334
aadac,6995.817212977399,0.28109203634856433,0.2127448221509254,1.3212638197565723,0.1864134132035089,0.3766220624704899
aadacl2,8.820269541039815,-0.02909981537561318,0.6309458556676911,-0.04612093908568215,0.9632138567882796,0.9751017971735277
aadacl3,7.187435347233048,-0.24409594262206785,0.5575307197537974,-0.4378161309745574,0.6615195765465371,0.7802770910992955
aadat,890.7576271215639,-0.747974836600119,0.33110652270031105,-2.259015710412691,0.023882407638996017,0.09659614109817996
aagab,399.85921081288507,0.5096977189365757,0.15308479042777176,3.3295124715675817,0.0008699816791424789,0.010439780149709747
aak1,620.3020143053274,0.2025033097941325,0.1591399734532232,1.2724855069405632,0.20320067028929167,0.3883612239800487
aamdc,275.5724737835416,-0.07703280051506496,0.12912071149802412,-0.5965952295441289,0.5507776569907121,0.6957191456724784
aamp,811.8212220888181,-0.21180762038619513,0.18346677820583146,-1.1544739732038465,0.2483059030093302,0.43340666707083086
aanat,4.886726762757383,-0.6202857170921768,0.7102340451308491,-0.8733539617604493,0.3824701764486458,0.5737052646729687
