,condition,group
440353.1.X_4,6,human
440354.1.X_4,6,human
440357.1.X_5,6,human
440422.1.X_1,6,human
440492.1.X_5,6,human
440527.1.X_4,6,human
440534.1.X_5,0,human
440538.1.X_6,0,human
440548.1.X_7,0,human
449058.1.X_7,6,human
449060.1.X_8,6,human
449065.1.X_5,0,human
