,condition,group
I00003,ccl4_2,mouse
I00004,control_2,mouse
I00009,ccl4_2,mouse
I00010,control_2,mouse
I00015,ccl4_2,mouse
I00016,control_2,mouse
I00021,ccl4_2,mouse
I00022,control_2,mouse
I00027,ccl4_2,mouse
I00028,control_2,mouse
I00033,ccl4_2,mouse
I00034,control_2,mouse
