,I00001,I00002,I00003,I00004,I00005,I00006,I00007,I00008,I00009,I00010,I00011,I00012,I00013,I00014,I00015,I00016,I00017,I00018,I00019,I00020,I00021,I00022,I00023,I00024,I00025,I00026,I00027,I00028,I00029,I00030,I00031,I00032,I00033,I00034,I00035,I00036
condition,ccl4_12,control_12,ccl4_2,control_2,ccl4_6,control_0,ccl4_12,control_12,ccl4_2,control_2,ccl4_6,control_0,ccl4_12,control_12,ccl4_2,control_2,ccl4_6,control_0,ccl4_12,control_12,ccl4_2,control_2,ccl4_6,control_0,ccl4_12,control_12,ccl4_2,control_2,ccl4_6,control_0,ccl4_12,control_12,ccl4_2,control_2,ccl4_6,control_0
group,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse
