,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a1bg,20.843640893525567,4.259048952713309,1.1195580053575047,3.8042235706699996,0.00014224966275455585,0.00037292479154572746
a1cf,1688.9046792449353,-0.7268862626385503,0.0942943513871812,-7.708693595588659,1.2711218527170686e-14,1.5412352464194456e-13
a2m,179.81032686319222,4.673400959018477,1.3272491759860547,3.5211179962093118,,
a3galt2,1.722978793292058,1.0328377680829979,1.2487846376882,0.8270743704815495,0.40819490988693763,0.4770470633618428
a4galt,76.90699414340018,2.640795320563606,0.3931682685817145,6.716705114809522,1.858795944138714e-11,1.3869477429342714e-10
a4gnt,25.16755911351468,6.016164209833827,0.9213444142284316,6.5297668460626515,6.587215261439617e-11,3.549777113109127e-10
aaas,197.46065066156805,0.873981350014839,0.18206623261209517,4.800348408795371,1.58389830794514e-06,5.487076281095664e-06
aacs,1183.8122229124294,0.054544040931562406,0.19494674299853806,0.2797894445047047,0.7796390504748543,0.8278833850106034
aadac,11344.624178407466,-1.28202649686064,0.2024757542073598,-6.3317531616535625,2.4239104990221014e-10,1.2374700968691781e-09
aadacl2,0.15974377322136044,0.5843101963103337,3.344034806840001,0.1747320916382706,0.8612901501963969,
aadacl3,0.07987188661068022,0.10341521561482954,3.400874491517423,0.03040841873840722,0.9757413307795465,
aadat,1958.2247786917185,-1.6152865769571991,0.24449078068912192,-6.60673818621852,3.9287994426478924e-11,2.5406236395789707e-10
aagab,682.615616670662,-0.5953508246366652,0.12356526569225376,-4.818108238600157,1.4492574904204204e-06,5.206591724843732e-06
aak1,485.76011840696646,0.2540994210176636,0.14818950743110676,1.7146923923462956,0.08640163910573767,0.13303109513105643
aamdc,334.3757621182552,-0.5431440149010753,0.1597968498147334,-3.3989657213567734,0.0006764119337873957,0.0014911808540313044
aamp,2865.5086170061636,0.18565957466241112,0.060298854825811085,3.0789900604039175,0.002077036113292235,0.004197343812278058
aanat,2.8393120158858682,0.954138728562672,0.9771542840215715,0.9764463444153602,0.32884332484085277,0.39589562688416374
aar2,454.91105990394493,-0.1293457595545822,0.07952339541060242,-1.62651203317882,0.10384077564188045,0.15496238826557543
aard,21.03385700966818,-0.45414959571303565,0.33099316917663496,-1.3720814748013066,0.17003807574844765,0.2323055401070341
aars2,326.6025334232412,-0.11078242919508165,0.09205970313690388,-1.2033759117204061,0.22883088510067828,0.29595461139687723
aarsd1,424.7350775999946,-0.21974636316175808,0.13945032363897317,-1.5758038950893047,0.11507100447178295,0.16659533483228278
aasdh,187.6476363829153,-0.2166206003541451,0.13726895163376937,-1.5780742678947837,0.1145485489461661,0.16659533483228278
