gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a1bg,9904.5572478628,-0.163189820490502,0.20201248613781567,-0.8078204650140868,0.41919394226942863,0.6616846579502638
a1cf,17830.995242858375,-0.47200854542308257,0.22623234478884513,-2.0863884245359947,0.03694345267567625,0.1818692295769316
a2m,54959.116440886195,-0.4238901940475129,0.33776730302374974,-1.2549769923043956,0.20948711228577377,0.46171691435153295
a3galt2,0.17070656416719387,-1.7203533626372398,3.4454753846852237,-0.49930798237132373,0.6175624325479293,
a4galt,15.706375679903482,0.2663439650288312,0.4808580986604909,0.5538930627783456,0.579652033057097,0.7789977551776706
a4gnt,3.6865556074004786,-0.14548084933082872,1.00898391906486,-0.14418549848213869,0.8853539918212124,
aaas,424.5353703551266,0.18105794995863342,0.16074605464883446,1.1263601483356607,0.2600131078611625,0.5182568957575893
aacs,563.3630683544051,-0.2654815966954621,0.16569077383645747,-1.6022714515021919,0.10909559580210179,0.32399251880923946
aadac,7072.5448445194925,0.23189179594702433,0.20951801835118747,1.1067868900818576,0.2683860776387411,0.5266104572745592
aadacl2,9.044130111911402,-0.08207700076289239,0.6742176734206901,-0.1217366497476535,0.9031075867876381,0.9562313435155283
aadacl3,7.341837946148324,-0.28384011162153844,0.5626356959923439,-0.5044829427697756,0.6139220456320627,0.8010056785945978
aadat,907.6248876136339,-0.7666984774402458,0.3593209339637578,-2.1337428604078417,0.0328638355247252,0.1705027439317984
aagab,404.24416868652673,0.4697257483086517,0.1323879873543845,3.548099474095488,0.0003880216470909667,0.010846895586937107
aak1,628.5962917934945,0.1574154511165097,0.14957516659345818,1.0524170201619178,0.29260826321856004,0.553204093545819
aamdc,280.7662080568535,-0.11675992315089063,0.13969820760620727,-0.8358011541567022,0.4032667770997366,0.6500813499430963
aamp,829.0224464580675,-0.25161898640196456,0.20465627921414473,-1.2294711277276755,0.21889521651439459,0.47205051733386155
aanat,4.951578473081802,-0.697456861134803,0.7137287178541587,-0.9772016225320491,0.3284693449056385,0.5865866074564047
aar2,324.5592017314935,0.34295023932430546,0.1575560631470264,2.1766870311063498,0.029503926586912765,0.16049078318220433
aard,54.56327713779351,-0.6950722404013064,0.30920492320595766,-2.2479339371266325,0.024580402761766113,0.14546207960578292
aars2,319.9118498035039,-0.22005144230646623,0.16606775533869217,-1.3250702513421424,0.1851478518807499,0.4297850274712422
aarsd1,214.31533657490675,-0.15415660586130012,0.14642469626111462,-1.0528046825270339,0.29243051845411827,0.553204093545819
aasdh,381.78039536841334,-0.03092905186824372,0.17053877974329507,-0.18136081373866952,0.8560843748881528,0.9340740843179992
aasdhppt,752.8371433538941,0.08111245941622032,0.13173203283021467,0.6157383111271323,0.5380672476950927,0.7506540340338826
aass,3461.5489858350015,-1.8213164105470172,0.3285370714930769,-5.543716580505882,2.9611800103591074e-08,6.649823243263102e-06
aatf,353.65432809370327,-0.23203708843500653,0.14175319200783307,-1.6369090893006804,0.10164946647496993,0.31149076899789513
aatk,25.95561596791602,-0.9944794135133485,0.4400853874655129,-2.259741954261729,0.02383727082347391,0.14287517218660475
abat,11870.57796464041,-0.6264768001782025,0.2256739333503697,-2.776026415091401,0.0055027737495079426,0.06067461006617841
abca1,7926.047452105788,-0.22089636146835703,0.16374173860822486,-1.3490534749779508,0.1773197905570758,0.4207090787050607
abca12,9.787208956240761,1.4532446280941027,0.8923622281524531,1.6285366886302444,0.10341113636144145,0.3144645643024737
abca13,101.65725329240416,-0.3285381506165761,0.21921742992319837,-1.4986862619987729,0.1339550423376404,0.3599741205539224
abca2,780.8841645740084,0.22912731755591395,0.3198690467094485,0.7163160046681248,0.4737962465257982,0.7043298639608264
abca3,66.48562170662744,0.41420396506057794,0.25416139488726297,1.6296887465710683,0.1031672969761985,0.31428355402606795
abca4,69.10945623587337,-1.0632314690291866,0.38493881118261997,-2.7620791620431744,0.005743455102044798,0.062407658636373514
abca5,3475.168407697545,-0.1878636389528986,0.2104174618070586,-0.892813920192419,0.37195683052259854,0.624672358776205
abca6,9370.484284893928,-0.8562408027787376,0.1621353043228559,-5.281026278359013,1.2846226183771794e-07,2.4040284944464047e-05
abca7,94.00195974437175,-0.015775075725114267,0.25047687790403594,-0.06298016749936536,0.9497822970068969,0.9780800157942123
abca9,2267.9703578807434,-0.5659515876507034,0.13860683804022375,-4.083143340204212,4.4430598197390724e-05,0.0023203793802776844
abcb10,644.8827349210247,0.028131117149686927,0.1299804063232272,0.21642582867245558,0.8286558349533432,0.9191475892226039
abcb11,4962.699413376881,-1.0225100290244187,0.2073904739445225,-4.930361600398014,8.207754803612493e-07,0.00010737018274162596
abcb4,7958.778506786145,0.7581029087909482,0.23795448116805243,3.185915663658157,0.001442966543512462,0.02638536866548469
abcb5,68.82644132384299,-0.19573151426779573,0.3384615502227621,-0.5782976356959098,0.5630631903838232,0.7679637035359483
abcb6,439.6374158306516,-0.3208408249515927,0.22312065964903813,-1.4379700448011645,0.15044255367548104,0.38579757788356767
abcb7,579.5974638545675,-0.22024221910477937,0.13202893665693488,-1.6681359759569876,0.09528873692053572,0.3007543783713512
abcb8,304.626824497324,0.3430890745594777,0.16472188401992047,2.0828384558665354,0.03726595097522666,0.18284413752491682
abcb9,169.0565475829708,-0.052522270481328646,0.21383363514014847,-0.2456221185544785,0.805974765540474,0.9071050471693375
abcc1,204.45498633204042,0.6263024186425935,0.2684847842122128,2.3327296572142373,0.019662338619444497,0.1284822262649831
abcc10,254.1359381790454,-0.0062781692564668765,0.20506254790017486,-0.03061587462340081,0.9755758819657732,0.9895180763360778
abcc12,0.872766983733142,-2.4583239227229314,2.1455009386000636,-1.1458041702498551,0.251876189276377,
abcc2,10175.402530569643,-0.3731376711517005,0.2154861314195875,-1.7316087522363057,0.08334324684102487,0.27969287868890885
abcc3,4205.821077994174,-0.016177214779716724,0.16652554358795382,-0.09714554554912713,0.9226108117638776,0.9658531321877419
abcc4,295.48976124551217,0.5126950813643204,0.25329919810321627,2.024069105640846,0.04296304185468673,0.19741990265644657
abcc5,602.3045702186993,0.699378608815061,0.313600550334402,2.230157466462645,0.02573699085394203,0.14940982971392283
abcc6,4943.864492911568,-0.059687394786244366,0.27855384720754234,-0.2142759663332635,0.8303318588682341,0.9199055637551872
abcc8,1.0892741601523341,-1.414773675817538,2.6929940415070015,-0.5253534371081748,0.5993375160886835,
abcc9,7644.401302143096,-0.34555483407817594,0.22282954777426547,-1.5507585844415737,0.12095954909986306,0.3421581108291345
abcd1,134.7198432827456,0.46010281508403134,0.2097998876153126,2.1930555841272525,0.02830337458281435,0.15789723757886548
abcd2,25.334813393699942,0.4825775507200208,0.37405982654062325,1.2901079358962182,0.19701318488023,0.4445002768044573
abcd3,5072.176779273513,0.0994951551428991,0.17686735952045668,0.5625410783123687,0.5737474240719509,0.7742286221277382
abcd4,802.5980646679733,-0.37809611443283486,0.12186945775869087,-3.102468176903591,0.0019191418044755845,0.03192409465864695
abce1,1220.6368232967259,0.13739428887831273,0.1690470899593045,0.8127574920774342,0.416357111436493,0.6594564146579648
abcf1,762.5135079107755,0.040040004509613925,0.16953064726514797,0.23618151145846142,0.8132918254544829,0.9107624714240111
abcf2,387.23278420929046,0.32352709894569837,0.1266143008454084,2.5552176711911363,0.010612141180465006,0.08820974106451912
abcf3,543.0861177499037,-0.037020997990947074,0.1797196889368061,-0.20599300059975387,0.8367963787743833,0.9234229654059001
abcg1,265.57704339325556,-0.16004284851713524,0.2588628761978359,-0.6182533813570955,0.5364083268882602,0.7496826825348342
abcg2,1321.2148910435192,-0.8793714862174153,0.3205411147797307,-2.7433968551014165,0.006080714793214151,0.0642076172730544
abcg4,3.319449044746083,2.4767208203550757,1.2881617842953585,1.9226783860149013,0.05452045291300654,
abcg5,2203.9522426877043,-0.2311458235300344,0.20415347198909173,-1.132215980840066,0.2575436430583584,0.5152214717182382
abcg8,1893.409156284988,-0.2393412830013841,0.2545770548914175,-0.9401526115677166,0.34713928531954485,0.6036803817653155
abhd10,745.8926134351435,-0.34365955895344086,0.16188236515616244,-2.1228968246289464,0.03376249861031239,0.17279221984629442
abhd11,189.04958055010823,-0.06956122218973278,0.15022270137202362,-0.4630539961963921,0.6433256637887932,0.8182399923355976
abhd12,351.7610921751365,-0.02478707841611317,0.17201599641683893,-0.1440975196053727,0.8854234633498426,0.9488809257263384
abhd12b,300.68142725492004,-0.4753748996941364,0.2546765172188313,-1.8665831655207914,0.06195982028467225,0.24081985279794682
abhd13,591.4048503507236,0.04003237507317131,0.10665686709446448,0.3753379989843055,0.707409109301326,0.8555624319698565
abhd14a,155.0535939045579,0.0826809704152525,0.21331199025940462,0.3876058271019166,0.6983077560228306,0.8508770758411666
abhd14b,1437.1692070541237,0.16017681700662986,0.22373954354838987,0.7159074988100491,0.4740484678261476,0.7043812368206345
abhd15,794.2738920120431,-0.37675903800220795,0.2770146673850197,-1.3600689146129386,0.17380811691574927,0.4171576696629246
abhd16a,573.693531315064,0.5046887577734123,0.15977144889413908,3.158816930475529,0.0015841096412097598,0.028195896044465395
abhd16b,26.83918653351229,-0.23960580572301374,0.3135075799624241,-0.7642743622075485,0.44470376025616376,0.6829976593743932
abhd17a,322.26863976824717,0.17878398662789086,0.2567940102434661,0.6962155638224815,0.48629384218486904,0.7134275927090855
abhd17b,338.82004773165755,-0.06661244202686949,0.11049298393101666,-0.6028658079182402,0.5465979637945104,0.75688346425531
abhd17c,48.22842251709118,1.0865139355923825,0.28642596483108806,3.7933500066347845,0.0001486284250668451,0.005821568021368228
abhd18,886.9116609161423,-0.36121829604930794,0.16182128224405026,-2.2322051280284483,0.025601408657365498,0.14907233372918874
abhd2,15731.807435390152,0.3043147082180798,0.15859964172071725,1.9187603762305874,0.05501466660208922,0.22613411159138197
abhd3,535.3919609013609,0.16812437210295472,0.1681642530461037,0.9997628452990063,0.31742529046156176,0.5771609582950706
abhd4,247.2804167753172,0.6747665224910435,0.24255443841959215,2.7819178526998245,0.0054038716336565545,0.06002825702714318
abhd5,343.4992335491845,0.300946896738192,0.18538140247047757,1.6233931382956202,0.10450539060707759,0.3158667392468177
abhd6,1232.8214604726593,0.21240234596161392,0.2532954538231717,0.8385556975289982,0.40171868018717505,0.6488560892881798
abhd8,123.12229384053099,0.3352028056928495,0.25727860166640937,1.3028786829597185,0.19261618266768565,0.4389902647605542
abi1,828.5281264313882,0.24398885996145228,0.14389569538494207,1.6955952664792808,0.08996255483424391,0.29131349767762615
abi2,1828.5245179451922,0.18649796026094165,0.15066828100227786,1.2378050577090085,0.21578835263944707,0.4683524908930267
abi3,101.28329134813144,0.955565641789653,0.3188240314459942,2.9971568876278916,0.0027251042931219875,0.04030521980848042
abi3bp,419.12791361206547,-0.26249899760335066,0.1667437869069406,-1.5742655392002751,0.11542607311566967,0.33455053573004795
