gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a1bg,19.910353794035945,4.2082337710494055,1.2465044493935944,3.3760278778761266,0.000735404672830446,0.002864758217030757
a1cf,1673.4348550601462,-0.7615177544736037,0.09092344503883666,-8.375372866132956,5.5049300906126477e-17,2.2892014922802864e-15
a2m,162.28819284246035,4.519262875693904,1.3108740964728416,3.4475186349732967,,
a3galt2,1.7135087181869846,1.0096099264079152,1.2617814968127155,0.8001464032863135,0.4236259785436003,0.568213482322934
a4galt,76.91052736684505,2.646366241814148,0.3956753280605727,6.688226568953584,2.2589122616394762e-11,4.074182295317326e-10
a4gnt,24.5361746683074,5.975542089864753,0.9029700139117673,6.617652854249317,3.649467874199509e-11,6.431320100068786e-10
aaas,193.40845083760155,0.8246968642609765,0.1633612530092297,5.0483015346018565,4.457552089133751e-07,3.718341367685737e-06
aacs,1169.6926155434205,0.02239154868838584,0.18790910049455858,0.11916159797185685,0.9051473301973175,0.9428474234972606
aadac,11303.735774497485,-1.3133840003982615,0.20484830385243571,-6.411495607717452,1.440989116810464e-10,2.3184869670472844e-09
aadacl2,0.15464967874415317,0.5493464933671535,3.3441706277422614,0.1642698757084748,0.8695186952231537,
aadacl3,0.07732483937207658,0.06845039058335982,3.401018281146393,0.020126440061441542,0.9839425082960035,
aadat,1952.3499336183231,-1.6446557325145423,0.24162643836054543,-6.806605037402621,9.992877880479953e-12,1.942305001623385e-10
aagab,676.1088512107257,-0.6364338232480758,0.11791066704077967,-5.397593273117214,6.754076345422583e-08,6.632910014348429e-07
aak1,478.7520621456525,0.22057556089190378,0.13732425430028097,1.606238912534568,0.10822142658813497,0.1988481804387208
aamdc,331.65821510585715,-0.5784948702270546,0.16278302117300525,-3.553778926441181,0.0003797382783606426,0.001600978409430218
aamp,2830.452055055505,0.1510445219787711,0.06516685461688151,2.317812066682791,0.02045953702303541,0.04998604460265311
aanat,2.7649669381768427,0.8855638320666915,0.9775176260098561,0.9059313187850001,0.36497220619477044,0.5083709867422238
aar2,450.04428054744,-0.16421425885783067,0.08696683473957577,-1.888240032531644,0.058993733761543696,0.12170442881411356
aard,20.874941085152077,-0.492655018998523,0.33931635354871487,-1.4519047309277229,0.14652809692906812,0.25232793688424193
aars2,323.7750414746127,-0.1407764352793035,0.11424686309349634,-1.2322126968518698,0.21786964161618916,0.34534839470753026
aarsd1,421.4042498619295,-0.24885276669157652,0.1528081712805097,-1.6285304941890701,0.10341244868611338,0.19182290613993286
aasdh,186.34697513292323,-0.2470659422595165,0.15738590808452232,-1.5698098086826968,0.11645936495321639,0.21107883347832054
aasdhppt,874.7980935619217,-0.7955276258317505,0.1340800871481471,-5.933227243153267,2.9703727547757153e-09,3.7467870193903576e-08
aass,6991.960397233398,-1.0534053363179858,0.22942329303670955,-4.591536118128305,4.399954767686252e-06,2.9460566705377513e-05
aatf,358.02060888643786,-0.09491130746915541,0.12155157169097967,-0.7808315939381537,0.4349015493864895,0.578190903434424
aatk,86.3691826263788,-1.2793507593422881,0.24420568729424322,-5.238824588883549,1.6160254629895074e-07,1.4648758627642277e-06
abat,6365.801250563935,-0.7701544090066286,0.21684939046303456,-3.5515636329995295,0.0003829493815983216,0.0016130606052656687
abca1,7199.74668916917,-0.3266663750456452,0.13766547057621972,-2.372899854105271,0.01764904846775483,0.04419041722835736
abca12,14.898617934740471,-0.23175289315932593,0.4049874132269972,-0.5722471503810106,0.5671545484066782,0.6953113324618309
abca13,6.215484841548965,0.7176905801547407,0.6788866113676242,1.057158247249781,0.2904393716087126,0.42922056249290846
abca2,934.9631336558683,-0.2708202604110144,0.11614483344899565,-2.3317460826179897,0.019714052983003494,0.04845190082494054
abca3,1268.9953965074437,-0.14327300819426492,0.13811047329021123,-1.0373797495661727,0.2995589121085085,0.4384077340467791
abca4,25.111609022970526,-0.006920250429942834,0.2867498864703313,-0.024133402510200613,0.9807461997255853,0.9890743554227369
abca5,376.7788154579478,1.096336561532438,0.18218083563163953,6.017847913208475,1.767511357546973e-09,2.3523175844884406e-08
abca6,7207.681803104043,-0.3223135916196628,0.07482682587014355,-4.307460431089437,1.651396256601738e-05,9.695294151661817e-05
abca7,200.25205841840489,0.22092512737269593,0.13972106297600986,1.5811869926199233,0.11383528857836453,0.20731484524200136
abca9,386.53878945518653,0.24841372446747678,0.2025013547081981,1.2267262351179715,0.21992550368860797,0.3478252654965509
abcb10,646.8728807037617,-1.020608229083734,0.13545269113470865,-7.534794772506453,4.8910344347860514e-14,1.3546038847646586e-12
abcb11,18065.580481636633,-1.2275043995114883,0.20313913932231453,-6.042677957613305,1.5157701503912216e-09,2.042500277652171e-08
abcb4,5630.322139355395,0.6134141382487953,0.16737165933843434,3.6649821162879164,0.00024735586686792005,0.0010946969873002878
