gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a1bg,1.768578085521539,-1.1226506195705834,0.9587177406564777,-1.1709918070378602,0.24160207038034676,
a1cf,2083.8647145903437,-0.25193317404568305,0.13991644576989815,-1.800597296903924,0.07176637554283098,0.2010889590417235
a2m,6.431111586566114,0.4262662247417437,0.46573532718485244,0.9152542224321256,0.360058185123621,0.5822819710653415
a3galt2,0.9937858632115314,-0.05050035234584642,1.441658184917944,-0.03502935222382189,0.9720563355404622,
a4galt,20.67492309867848,0.285749632661673,0.26277703342421616,1.0874224011821114,0.27685017558165537,0.49588703970403647
a4gnt,2.435816479889123,0.4371320230445048,1.52066662071453,0.2874607866641443,0.7737595231149261,
aaas,133.17000089002312,-0.12981796301660545,0.12497381472258089,-1.0387613061566352,0.29891576109800666,0.5193902065063002
aacs,2003.9979337298148,-0.41001245422870974,0.3857790391165866,-1.0628168268748255,0.28786502712071815,0.5084544940018582
aadac,15679.673292786474,-0.2310674910265891,0.09682576386573419,-2.386425697059354,0.017013044911330842,0.07263008304214648
aadacl2,0.08530065322491394,0.30376475420583116,3.401073696681462,0.0893143699009593,0.9288320741810878,
aadacl3,0.0,,,,,
aadat,2129.7102978788553,-0.27833440421871636,0.14897171119918623,-1.8683708603344336,0.06171039584134719,0.18214471651907363
aagab,775.2134775735366,-0.17287265964931597,0.07895977518009399,-2.1893762900796316,0.028569501500172435,0.10574810604074195
aak1,409.0739276202582,-0.03424575874027727,0.09729100237065984,-0.3519930713613945,0.724843458641997,0.8574488360173408
aamdc,425.5818769162078,0.0007714939783585944,0.10845480679747525,0.007113506548393522,0.9943242908189232,0.9983871746995918
aamp,2735.4017787989937,-0.03066609626504801,0.06069232405057765,-0.5052714119085729,0.6133682191588331,0.7832360722370828
aanat,2.0170553999003906,-0.4042330005518685,0.7649577790930616,-0.5284383159435668,0.5971951494803012,
aar2,423.5011596387745,-0.22346769146819923,0.09369599264444119,-2.3850293396881703,0.017077759287854814,0.07279443878757978
aard,23.392559953059408,-0.01123650201596132,0.25500004736895804,-0.044064705602596586,0.9648528262923868,0.9866329918766222
aars2,323.2654972125019,-0.01083583113110447,0.07434929363381453,-0.14574222028891295,0.8841248902254756,0.9482700417697595
aarsd1,405.4191673421189,-0.3297744836406164,0.09116508254217934,-3.61733324256071,0.0002976539771854225,0.0033731338198874634
aasdh,176.3927520475221,-0.06070396366322389,0.09656250934340657,-0.6286494010562791,0.5295786109148789,0.7210697484556265
aasdhppt,895.7868160095127,-0.2461779741964913,0.0966380211333297,-2.547423584521087,0.010852161773720394,0.05283300739977715
aass,9287.695615309285,-0.046624118229142454,0.07915893835702918,-0.5889937282743044,0.5558654808264698,0.7401410010248706
aatf,385.421104177481,-0.1684318738978867,0.08586170286791714,-1.9616647267873197,0.049801531068338095,0.1568895894563414
aatk,103.01224998863245,-1.528104564310722,0.21350420607567963,-7.157257425500383,8.230705275870228e-13,1.0858268471004015e-10
abat,7725.095311056818,-0.10673998827071836,0.08815065697755654,-1.2108813698109444,0.22594087370872984,0.4352768863814054
abca1,8145.469434127129,0.033975531058620986,0.07617693832591103,0.44600809385725143,0.6555913993615594,0.8133381267588947
abca12,16.94962969503447,-0.04368573005741486,0.3255389491799757,-0.13419509452696243,0.8932483048284126,0.9524999715078583
abca13,7.855412830832013,1.1500997192620424,0.5974265747925915,1.925089655848206,0.05421814283823747,0.16672044581395695
abca2,795.4375492781965,-0.09209692563570807,0.15756255082244972,-0.5845102478664999,0.5588770726137116,0.7422949256196779
abca3,1254.7168417108044,0.08577625438941285,0.10437516043060056,0.821807162121162,0.4111866568574054,0.6276197015593525
abca4,23.178091776337528,0.41127979260572933,0.24874675787319542,1.6534076509065054,0.09824792680734812,0.2499863915431413
abca5,226.62212582470124,-0.2787928338158798,0.15520950999920044,-1.7962355129999188,0.07245706895674757,0.20226378628835892
abca6,9465.064028787574,-0.13200428038380402,0.06738417906656274,-1.9589803157416061,0.05011509207517405,0.15778128988751944
abca7,186.01394216100402,0.26182969422303637,0.09747875922881388,2.686017921180533,0.0072309210289307,0.03939713847483492
abca9,336.3090213916268,0.3328900315774128,0.09459572061715284,3.5190813009891126,0.000433043980183197,0.004593450064653127
abcb10,832.5107667660791,-0.3109997083979945,0.08835571946114848,-3.519859385387569,0.0004317756411635877,0.004588844970930353
abcb11,19948.045463963517,-0.3477996745928953,0.15356187669491608,-2.2648829389072564,0.023519864006724504,0.09178797088412068
abcb4,4603.283863338639,-0.08114924597264568,0.12035241642858101,-0.6742635368754802,0.500143781554919,0.6975553083795517
abcb5,0.33982396886295524,-1.9816812140614528,3.2064797245254018,-0.6180239341306816,0.5365595617491625,
abcb6,1416.8390648901543,-0.14918730011704828,0.08806173794413769,-1.6941216878059555,0.09024216192793771,0.23666143459796457
abcb7,1938.3282448787586,-0.10103601740649182,0.06985549356824744,-1.4463575052659476,0.14807695430303255,0.3308560372562419
abcb8,589.6913644118343,0.04576194365716591,0.07055473626629971,0.6486020085801666,0.5165956569039785,0.7101508084543647
abcb9,43.29205820189545,-0.17518708704783664,0.18399440264970945,-0.952132698196041,0.3410296878978337,0.5643799493591702
abcc1,186.96824167746286,0.49747634674549096,0.14195044740948348,3.50457751859298,0.000457332403375384,0.004809916273628281
abcc10,104.8819552826244,-0.018319500396184366,0.15891768185807664,-0.11527666513877804,0.9082258335659696,0.9596092600973696
abcc12,5.9227683622440574,-0.0003084085486779253,0.5123116682616214,-0.0006019939965927748,0.9995196783134338,0.9996020382078235
abcc2,10521.550805931105,-0.11580819003124751,0.13114584345144095,-0.8830488788928147,0.3772098629508679,0.596097351775448
abcc3,3574.2149637506923,-0.5165504281727067,0.1109788635959623,-4.654493760661468,3.2477767115624214e-06,8.625441126528033e-05
abcc4,102.18257942194818,0.4627708463934304,0.1412708558478412,3.2757701057029602,0.0010537429808864184,0.009321631602783135
abcc5,204.5734445036693,0.6453758919326085,0.13880731945388147,4.6494370359700925,3.3284227064224884e-06,8.814440845471789e-05
abcc6,2717.8646193268237,-0.12622394993204833,0.08285973121904254,-1.5233449116359188,0.12767243647615495,0.2992006876831613
abcc8,0.7307247450806056,0.26909776136328756,1.9289933078259487,0.13950165626368674,0.8890537472286967,
abcc9,971.5599054928998,-0.14780393770082953,0.13416909421811152,-1.1016243238592085,0.27062502911530484,0.4875428200048174
