Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Pathways in cancer,0.4087403899885071,1.529068795953069,0.0,0.05271243447668509,0.928,179/488,23.67%,fzd2;adcy8;calml3;mmp9;ret;egf;wnt1;fgf21;wnt10b;ccne1;fzd10;cdkn2b;hes5;e2f1;cxcr4;gli1;jun;lamc3;fgf20;nos2;epo;wnt4;fos;cdkn2a;cdkn1a;il2;ccna2;bbc3;myc;ptger1;bax;ifng;lpar2;prkcg;cks2;gstm3;fgf23;gnb3;itga6;lamb3;dll3;lef1;col4a4;wnt11;spi1;birc3;heyl;pmaip1;kit;e2f3;gna12;mapk10;txnrd1;jag2;rac2;col4a1;ifngr2;hgf;bdkrb2;pdgfrb;gli2;gli3;flt3;fgf17;bmp2;gstp1;lama3;runx1;gng10;cycs;ccnd1;col4a2;gadd45g;lpar5;pdgfa;mmp2;il13;wnt2;bak1;f2r;col4a5;csf2rb;pld2;gngt2;wnt16;bcl2;col4a3;rac3;ifngr1;tgfa;ctbp2;kif7;csf1r;nfkb2;cebpa;gng11;fzd7;pgf;fzd3;adcy3;tgfb3;frat2;lpar6;jak3;fadd;fgfr2;bcl2l1;ptgs2;ntrk1;lpar1;cbl;egln3;fzd8;gna13;itgav;ralgds;hras;camk2b;plcb2;gnb2;traf4;prkcb;ptger4;ednra;rbx1;pml;tgfbr1;ikbkg;ccnd3;cdc42;casp7;gnb1;rb1;ccne2;tgfb1;rala;itga2b;nkx3-1;ptch2;msh2;bdkrb1;bid;hes1;pdgfra;gng5;plcb3;egln2;hsp90aa1;stat1;itgb1;gng12;mapk1;il6;cdh1;rac1;gstt2;nras;fas;rhoa;stat4;gng8;fgf18;rara;stat3;ptger2;pik3r2;dapk3;fgf2;mtor;hif1a;il2ra;hey1;pik3cd;tgfbr2;adcy7;lama4;traf1;traf3;map2k2
prerank,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.47180111409439407,1.5282506212568878,0.005,0.05225912947950218,0.931,31/88,23.67%,egf;jun;ppp3r2;fos;batf;ifng;batf3;nfkbie;cd3d;ifngr2;cd3e;pdcd1;tlr2;ifngr1;ticam1;hras;mapk11;myd88;zap70;ikbkg;stat1;mapk1;nras;stat3;pik3r2;ptpn6;mtor;hif1a;pik3cd;cd247;map2k2
prerank,Hematopoietic cell lineage,0.49206505287433944,1.5213990680451832,0.01445466491458607,0.055265904752186464,0.94,21/66,12.74%,il1a;il1b;tnf;epo;cd2;il9r;gp1bb;cd5;itga6;itgam;kit;cd34;cd3d;cd44;flt3;itga4;cd3e;ms4a1;cd33;cd8a;csf1r
prerank,Hepatitis C,0.4473861290787199,1.5185837559960893,0.0036319612590799033,0.05606364026752042,0.944,57/138,27.15%,egf;cxcl10;tnf;e2f1;cdkn1a;socs3;myc;bax;ifng;ywhah;e2f3;cldn2;ikbke;cldn7;cycs;ccnd1;ywhaz;oas2;bak1;tradd;ticam1;fadd;hras;cldn9;psme3;ywhab;ikbkg;ldlr;rb1;eif2ak3;cd81;irf7;bid;stat1;ywhag;mapk1;ppp2r1a;oas3;nras;fas;ifnb1;cldn8;stat3;pik3r2;ppp2ca;pik3cd;traf3;map2k2;cdk4;cldn10;scarb1;cldn5;tlr3;ppp2r1b;grb2;cldn15;pik3r3
prerank,Glioma,0.4808627468156728,1.515800486644673,0.014397905759162303,0.05661443579019058,0.949,31/70,24.39%,calml3;egf;e2f1;cdkn2a;cdkn1a;bax;prkcg;e2f3;pdgfrb;shc3;ccnd1;gadd45g;pdgfa;bak1;tgfa;shc2;camk1d;hras;camk2b;shc1;prkcb;rb1;pdgfra;mapk1;nras;camk1;pik3r2;mtor;pik3cd;map2k2;cdk4
prerank,Non-small cell lung cancer,0.47877236856258415,1.5084682865682508,0.01032258064516129,0.05998585244417843,0.956,29/71,27.15%,ret;egf;e2f1;cdkn2a;cdkn1a;bax;prkcg;e2f3;hgf;ccnd1;gadd45g;bak1;tgfa;kif5c;jak3;hras;prkcb;rb1;kif5b;mapk1;nras;stat3;pik3r2;pik3cd;map2k2;cdk4;rassf1;grb2;pik3r3
prerank,Arachidonic acid metabolism,0.5143489250321551,1.504052776247578,0.02309782608695652,0.061744610087813755,0.963,18/45,15.87%,gpx2;gpx6;ptgds;ltc4s;cbr3;alox12b;ggt1;alox15;gpx7;gpx1;alox5;gpx3;pla2g1b;ptgis;ptgs2;ggt5;hpgds;ptgs1
prerank,Chronic myeloid leukemia,0.473416697867934,1.4987539436011248,0.015209125475285171,0.06425905190918275,0.967,33/75,27.15%,e2f1;cdkn2a;cdkn1a;myc;bax;e2f3;shc3;runx1;ccnd1;gadd45g;bak1;ctbp2;tgfb3;bcl2l1;shc2;cbl;hras;shc1;tgfbr1;ikbkg;rb1;tgfb1;gab2;mapk1;nras;pik3r2;pik3cd;tgfbr2;map2k2;cdk4;mdm2;grb2;pik3r3
prerank,Pancreatic cancer,0.47334597027512876,1.4979906482161238,0.017789072426937738,0.06371613097591745,0.967,31/75,23.01%,egf;e2f1;cdkn2a;cdkn1a;bax;e2f3;mapk10;rac2;ccnd1;gadd45g;bak1;pld2;rac3;tgfa;tgfb3;bcl2l1;ralgds;tgfbr1;ikbkg;cdc42;rb1;tgfb1;rala;stat1;mapk1;rac1;stat3;pik3r2;mtor;pik3cd;tgfbr2
prerank,Fluid shear stress and atherosclerosis,0.44121519162905487,1.4966388421994974,0.009615384615384616,0.06363224308157135,0.967,42/125,20.88%,calml3;mmp9;il1a;il1b;ccl2;tnf;jun;fos;ncf2;ifng;src;gstm3;icam1;trpv4;mapk10;rac2;gstp1;pdgfa;mmp2;sqstm1;cav2;cyba;prkaa2;bcl2;klf2;rac3;dusp1;actb;itgav;pecam1;mapk11;bmpr1b;arhgef2;ikbkg;il1r2;itga2b;thbd;itgb3;hsp90aa1;rac1;gstt2;rhoa
